Sl.no,Designation,Company,Experience,Location,More location,Working type,Category,Count of jobs
1,Data Scientist (Theoretical),torcai digital media,2 to 6 Yrs,All India,Not Available,Regular,Data Scientist,1
2,Lead Data Scientist,Xoriant,8 to 12 Yrs, Maharashtra,Pune,Regular,Data Scientist,1
3,Senior Data Scientist,InfoVision Inc.,7 to 10 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
4,"Data Scientist II, GPS India Operations T500-10229",Bristol Myers Squibb,3 to 5 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
5,Lead Data Scientist,APS Resources,5 to 9 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
6,Data Scientist,Sybex Support Services,2 to 4 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
7,Data Scientist,PADMA SAI FINANCE PRIVATE LIMITED,5 to 9 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
8,Staff Data Scientist,LegalZoom,2 to 5 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
9,Data Scientist- BLR HYD GGN,Genpact,5 to 9 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
10,Data Scientist,Flipped.ai - Transforming Talent Ac...,5 to 9 Yrs, Maharashtra,Pune,Regular,Data Scientist,1
11,Data Scientist,Arting Digital,1 to 5 Yrs, Maharashtra,Navi Mumbai,Regular,Data Scientist,1
12,Lead Data Scientist,Three Steps,10 to 14 Yrs,All India,Not Available,Regular,Data Scientist,1
13,HM Lead Data Scientist,Xander Talent,7 to 10 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
14,Data Scientist,Ayruz Data Marketing,1 to 5 Yrs,All India,Not Available,Regular,Data Scientist,1
15,Data Scientist,Two95 International Inc.,1 to 10 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
16,Senior Data Scientist,SurveySparrow,3 to 7 Yrs,Chennai, Tamil Nadu,Regular,Data Scientist,1
17,Senior Data Scientist,Electronic Arts (EA),10 to 14 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
18,Sr Data Analyst | Sr Data Scientist,AIBridge ML,2 to 6 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
19,Data Scientist,Osource Global,2 to 4 Yrs, Maharashtra,Navi Mumbai,Regular,Data Scientist,1
20,Senior Data Scientist,Electronic Arts (EA),10 to 14 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
21,Sr Data Analyst | Sr Data Scientist,AIBridge ML,2 to 6 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
22,Data Scientist,Osource Global,2 to 4 Yrs, Maharashtra,Navi Mumbai,Regular,Data Scientist,1
23,Data Scientist - SQL/Python,Arting Digital,1 to 5 Yrs, Maharashtra,Navi Mumbai,Regular,Data Scientist,1
24,Sr. Data Scientist  IoT data & Satellite Analytics,Carnot Technologies,4 to 8 Yrs, Maharashtra,Not Available,Regular,Data Scientist,1
25,EbizON|| Data Scientist || Dehradun,EbizON,2 to 6 Yrs,Dehradun, Uttarakhand,Regular,Data Scientist,1
26,Data Analyst / Data Scientist (Fresher Only)-,Razormet Technologies,0 to 4 Yrs, Maharashtra,Kolhapur,Regular,Data Scientist,1
27,Data Scientist,EP Soft Pvt. Ltd.,3 Yrs,Jaipur, Rajasthan,Regular,Data Scientist,1
28,"Data Scientist , Pharma Domain",Fractal Analytics,5 to 11 Yrs, Maharashtra,Not Available,Regular,Data Scientist,1
29,Data Scientist,Maruti Suzuki India Ltd,2 to 5 Yrs,All India,Not Available,Regular,Data Scientist,1
30,Data Scientist,Collegedekho.com,3 to 7 Yrs, Haryana,Not Available,Regular,Data Scientist,1
31,Sr. Data Scientist,Awign,5 to 9 Yrs, Maharashtra,Not Available,Regular,Data Scientist,1
32,"Staff, Product Data Scientist",Uplers,7 to 11 Yrs,All India,Not Available,Regular,Data Scientist,1
33,Data Scientist (Accel Company),Accel in India,2 to 6 Yrs,All India,Not Available,Regular,Data Scientist,1
34,Data Scientist,DEWII,2 to 6 Yrs, Haryana,Not Available,Regular,Data Scientist,1
35,Data Scientist,TASConnect,3 to 7 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
36,Data Scientist,Racanaa Energy,4 to 5 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
37,Data Scientist,3GHr Services,2 to 6 Yrs, Maharashtra,Not Available,Regular,Data Scientist,1
38,Senior Data Scientist (Upto 22LPA CTC),Workassist,2 to 6 Yrs,All India,Not Available,Regular,Data Scientist,1
39,Senior Data Scientist,AiDash,5 to 9 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
40,Experienced Data Scientist,Volvo Group,5 to 9 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
41,"Staff, Product Data Scientist",Uplers,7 to 11 Yrs,All India,Not Available,Regular,Data Scientist,1
42,Data Scientist,GetMyUni,7 to 8 Yrs,All India,Not Available,Regular,Data Scientist,1
43,"Data Scientist, Senior Data Scientist, Lead Data Scient ...",MySellerCentral,5 to 9 Yrs, Maharashtra,Not Available,Regular,Data Scientist,1
44,Senior Data Scientist,SS Supply Chain Solutions,2 to 6 Yrs, Maharashtra,Pune,Regular,Data Scientist,1
45,Lead Data Scientist,Navikenz,5 to 10 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
46,Data Scientist - Tableau/Power BI,Pivot Human Capital,2 to 6 Yrs, Maharashtra,Not Available,Regular,Data Scientist,1
47,Data Scientist,Ingeniworx Business Solutions,7 to 11 Yrs,All India,Not Available,Regular,Data Scientist,1
48,Data Scientist - Revenue Cycle Management (RCM) Industr ...,Kerner Norland,3 to 7 Yrs,Chennai, Tamil Nadu,Regular,Data Scientist,1
49,Senior Data Scientist,Impetus,5 to 9 Yrs,All India,Not Available,Regular,Data Scientist,1
50,Sr. Data Scientist,IQVIA,10 to 14 Yrs,All India,Not Available,Regular,Data Scientist,1
51,Python Fullstack(With Data scientist & Airflow),Consulting Krew Pvt. Ltd.,3 to 7 Yrs, Maharashtra,Not Available,Regular,Data Scientist,1
52,Data Scientist,Collegedekho.com,3 to 7 Yrs, Haryana,Not Available,Regular,Data Scientist,1
53,Data Scientist,Idyllic Services Pvt. Ltd.,3 to 7 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
54,Data Analyst / Data Scientist (Fresher Required)-,Technofactorx AI,0 to 4 Yrs,All India,Not Available,Regular,Data Scientist,1
55,Lead Data Scientist,Acqueon,5 to 9 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
56,Data Scientist 4,Oracle,4 to 8 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
57,Data Scientist,SS Supply Chain Solutions,2 to 6 Yrs, Maharashtra,Pune,Regular,Data Scientist,1
58,Senior / Lead Data Scientist,Tiger Analytics,6 to 10 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
59,Senior Data Scientist,Galleon Consultants,4 to 6 Yrs, Maharashtra,Pune,Regular,Data Scientist,1
60,Data Scientist,SS Supply Chain Solutions,2 to 6 Yrs, Maharashtra,Pune,Regular,Data Scientist,1
61,Senior / Lead Data Scientist,Tiger Analytics,6 to 10 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
62,Data Scientist II,Honeywell,2 to 6 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
63,Sr. Data Scientist,Clairvoyant,5 to 9 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
64,Power BI Data Analytics & Data Scientist,Emerson,3 to 7 Yrs, Maharashtra,Pune,Regular,Data Scientist,1
65,"Senior Manager, Biomarker Data Scientist",Bristol Myers Squibb,1 to 5 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
66,Data Scientist - HCPL3806,Harjai Computers,6 to 9 Yrs, Maharashtra,Navi Mumbai,Regular,Data Scientist,1
67,Data Scientist,Acme Services Private Limited,3 to 5 Yrs,Gurugram,"Bangalore, Chennai, Hyderabad, Delhi",Regular,Data Scientist,1
68,"Data Scientist, Senior Manager",Dolby Laboratories,9 to 13 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
69,Data Scientist - Remote,Leap Room,4 to 5 Yrs,All India,Not Available,Regular,Data Scientist,1
70,Data Scientist,TheScholarHat,1 to 3 Yrs,Noida, Uttar Pradesh,Regular,Data Scientist,1
71,Sr. Data Scientist,Artificio Products Inc,5 to 9 Yrs,All India,Not Available,Regular,Data Scientist,1
72,Data Scientist - Contract (Remote),Leap Room,4 to 5 Yrs,All India,Not Available,Regular,Data Scientist,1
73,Sr. Data Scientist,pegasus knowledge solutions india p...,5 to 8 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
74,Lead Data Scientist,InterGlobe Aviation (IndiGo),4 to 7 Yrs, Haryana,Not Available,Regular,Data Scientist,1
75,Data Scientist,Beinex,5 to 9 Yrs, Haryana,Not Available,Regular,Data Scientist,1
76,Lead Data Scientist,Comsense Technologies,3 to 5 Yrs, Maharashtra,Pune,Regular,Data Scientist,1
77,Senior Data Scientist,Signify,8 to 12 Yrs,All India,Not Available,Regular,Data Scientist,1
78,AI Data Scientist,Ford Global Career Site,3 to 7 Yrs,All India,Not Available,Regular,Data Scientist,1
79,Senior Data Scientist,RARR Technologies Pvt Ltd,8 to 10 Yrs, Maharashtra,Not Available,Regular,Data Scientist,1
80,Data Scientist,Invincix,2 to 6 Yrs,Bhubaneswar,Not Available,Regular,Data Scientist,1
81,Data Scientist,Coretus Technologies,3 to 5 Yrs, Gujarat,Rajkot,Regular,Data Scientist,1
82,Senior Global Data Scientist,McCormick & Company,5 to 9 Yrs, Haryana,Not Available,Regular,Data Scientist,1
83,Data Scientist,BharatPe,2 to 4 Yrs, Haryana,Not Available,Regular,Data Scientist,1
84,DataNeuron - Senior Data Scientist - NLP,DataNeuron,3 to 4 Yrs,Delhi,Not Available,Regular,Data Scientist,1
85,Senior Data Scientist - DM,Quantium,5 to 7 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
86,Data Scientist - Japanese language,Right Advisors Private Limited,5 to 8 Yrs,Delhi,Not Available,Regular,Data Scientist,1
87,Data Scientist,BizViz Technologies,3 to 6 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
88,Data Scientist/ML Engineer - Generative AI,Ainlightened,1 to 2 Yrs,All India,Not Available,Regular,Data Scientist,1
89,Data Scientist,Adept Global,3 to 7 Yrs,Delhi,Not Available,Regular,Data Scientist,1
90,Senior Data Scientist,Ai Palette,4 to 8 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
91,Senior Data Scientist,Glass Cube Consulting,5 to 10 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
92,Senior Data Scientist,Mojro,1 to 3 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
93,Data Analyst / Data Scientist (Fresher / Entry Level)-,Ovidtech Technologies,1 to 3 Yrs,All India,Not Available,Regular,Data Scientist,1
94,Data Scientist Lead,ReNew,10 to 12 Yrs, Haryana,Not Available,Regular,Data Scientist,1
95,Data Scientist III,Dozee,5 to 9 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
96,IND (New) Lead Data Scientist - DM,Quantium,5 to 10 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
97,Data Scientist,True Tech Professionals,3 to 7 Yrs, Maharashtra,Pune,Regular,Data Scientist,1
98,Data Scientist III,Walmart Global Tech India,2 to 4 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
99,Data Scientist / Sr. Data Scientist,Vidushi Infotech,7 to 10 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
100,Data Scientist Specialist,Waytogo Consulting,5 to 9 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
101,Data Scientist,AxmiYAN HR Solutions Pvt Ltd,3 to 6 Yrs, Haryana,Not Available,Regular,Data Scientist,1
102,Data Scientist,True Tech Professionals,3 to 7 Yrs, Maharashtra,Pune,Regular,Data Scientist,1
103,Data Scientist III,Walmart Global Tech India,2 to 4 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
104,Data Scientist,Amdocs,3 to 7 Yrs, Maharashtra,Pune,Regular,Data Scientist,1
105,Sr. Data Scientist,Galytix,6 to 10 Yrs, Haryana,Not Available,Regular,Data Scientist,1
106,Data Scientist - Manager,Saaki Argus & Averil Consulting,7 to 8 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
107,Data scientist,HyreFox Consultants,0 to 3 Yrs,Jaipur, Rajasthan,Regular,Data Scientist,1
108,Data Scientist,Intriant HR Services - India,4 to 6 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
109,Data Scientist,Brain Links and resources pvt,3 to 7 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
110,Lead Data Scientist(8+ years),NetAnalytiks,8 to 12 Yrs,Chennai, Tamil Nadu,Regular,Data Scientist,1
111,Data Scientist,Spinny,2 to 5 Yrs, Haryana,Not Available,Regular,Data Scientist,1
112,Data Scientist - $45k Salary,GIGA Group,1 to 2 Yrs,All India,Not Available,Regular,Data Scientist,1
113,Senior Data Scientist,Sigmoid,3 to 5 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
114,Senior Data Scientist,Black & White Business Solutions,7 to 10 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
115,Data Scientist,HNM Solutions,3 to 7 Yrs,All India,Not Available,Regular,Data Scientist,1
116,Data Scientist,OptimHire Software Solutions Pvt Lt...,5 to 9 Yrs,All India,Not Available,Regular,Data Scientist,1
117,Data Scientist,RedLotus,0 to 3 Yrs, Maharashtra,Not Available,Regular,Data Scientist,1
118,Data Scientist,Barclays,2 to 6 Yrs,Chennai, Tamil Nadu,Regular,Data Scientist,1
119,Data Scientist,BigShyft,1 to 3 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
120,Data Scientist - $45k Salary,GIGA Group,1 to 2 Yrs,All India,Not Available,Regular,Data Scientist,1
121,Senior Data Scientist,Sigmoid,3 to 5 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
122,Senior Data Scientist,Black & White Business Solutions,7 to 10 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
123,Data Scientist,HNM Solutions,3 to 7 Yrs,All India,Not Available,Regular,Data Scientist,1
124,Data Scientist,OptimHire Software Solutions Pvt Lt...,5 to 9 Yrs,All India,Not Available,Regular,Data Scientist,1
125,Data Scientist,RedLotus,0 to 3 Yrs, Maharashtra,Not Available,Regular,Data Scientist,1
126,Data Scientist,Barclays,2 to 6 Yrs,Chennai, Tamil Nadu,Regular,Data Scientist,1
127,Data Scientist,BigShyft,1 to 3 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
128,IND (New) Data Scientist - DM,Quantium,2 to 3 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
129,Data Scientist-4,Cashfree Payments,8 to 12 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
130,Data Scientist,adyog,2 to 6 Yrs,Chennai, Tamil Nadu,Regular,Data Scientist,1
131,Data Scientist,aeries technology group  ( sabre in...,5 to 8 Yrs, Maharashtra,Not Available,Regular,Data Scientist,1
132,Senior Data Scientist,POWER COZMO PVT. LTD.,5 to 9 Yrs, Punjab,Not Available,Regular,Data Scientist,1
133,Data Scientist,Blue Hexagon,0 to 3 Yrs, Maharashtra,Pune,Regular,Data Scientist,1
134,Principal Data Scientist,HiLabs,7 to 10 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
135,Senior Data Scientist,Grid Dynamics,3 to 7 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
136,Asper - Senior Data Scientist/Data Scientist Lead,Asper.ai,5 to 9 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
137,Data Scientist 2,IQVIA,4 to 8 Yrs, Haryana,Not Available,Regular,Data Scientist,1
138,Junior Data Scientist,Sanfoundry,0 to 4 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
139,"Senior Data Scientist, Analytics",Expedia Group,7 to 11 Yrs, Haryana,Not Available,Regular,Data Scientist,1
140,Senior Data Scientist,Aker Solutions,5 to 9 Yrs, Maharashtra,Not Available,Regular,Data Scientist,1
141,Brandmuscle Data Scientist,brandmuscle india pvt ltd,2 to 5 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
142,Digital-Senior Analyst- DATA Scientist SA,Eclerx,4 to 8 Yrs, Maharashtra,Not Available,Regular,Data Scientist,1
143,Associate Data Scientist,Airtel India,2 to 6 Yrs,All India,Not Available,Regular,Data Scientist,1
144,Senior Data Scientist,Decimal Point Analytics,3 to 5 Yrs, Maharashtra,Not Available,Regular,Data Scientist,1
145,Interesting  Opportunity Data Scientist,TalentCo Search Pvt Ltd,2 to 5 Yrs,Chennai, Tamil Nadu,Regular,Data Scientist,1
146,Data Scientist,Careernet,2 to 6 Yrs, Haryana,Not Available,Regular,Data Scientist,1
147,Data Scientist,iSpatial Techno Solutions (IST),7 to 10 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
148,Quantitative Analyst / Data Scientist,BestEx Research,0 to 3 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
149,ZoomCar - Data Scientist - Machine Learning/Deep Learni ...,Zoomcar,2 to 4 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
150,DATA SCIENTIST,String Bio Private Limited,2 to 5 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
151,Lead Data Scientist - Retail,Talent Corner HR Services Pvt Ltd,4 to 8 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
152,Data Scientist-Retail,BiggWorks,4 to 8 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
153,Data Scientist - 5+ years,Mississippi Consultants LLP,3 to 5 Yrs, Maharashtra,Pune,Regular,Data Scientist,1
154,Data Scientist I,Urban Company,1 to 3 Yrs, Haryana,Not Available,Regular,Data Scientist,1
155,"Data Scientist - Test and Learn (Python, Time Series ex ...",Cube Hub Inc.,3 to 7 Yrs,All India,Not Available,Regular,Data Scientist,1
156,Data Scientists,Pratibha Analytics,3 to 20 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
157,Gen AI Data Scientist/ Sr. Data Scientist (3-5 Yrs),Resource tree Global Services,3 to 7 Yrs,Chennai, Tamil Nadu,Regular,Data Scientist,1
158,Python Data Scientist,buddy4study,4 to 8 Yrs,Noida, Uttar Pradesh,Regular,Data Scientist,1
159,Principal Data Scientist,Walmart Global Tech India,8 to 12 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
160,Senior Data Scientist,Quadratyx,5 to 9 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
161,Data Scientist,Rekruton Technologies,1 to 2 Yrs,All India,Not Available,Regular,Data Scientist,1
162,Data Scientist,LTIMindtree Limited,6 to 8 Yrs,Bangalore,Not Available,Regular,Data Scientist,1
163,Senior Data Scientist,Medtronic LABS,5 to 9 Yrs,All India,Not Available,Regular,Data Scientist,1
164,Data Scientist,SOTAOG,10 to 14 Yrs,All India,Not Available,Regular,Data Scientist,1
165,Data Scientist,Chiselon Technologies Private Limit...,5 to 12 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
166,Data Scientist,Samsung India,8 to 12 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
167,Sr Advanced Data Scientist,Honeywell,2 to 5 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
168,Data Scientist II,FIS Global,6 to 10 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
169,Data Scientist,ScrollTab,4 to 8 Yrs,Delhi,Not Available,Regular,Data Scientist,1
170,Data Scientist,Petpooja,0 to 2 Yrs, Gujarat,Ahmedabad,Regular,Data Scientist,1
171,Data Scientist (R Shiny Developer),Quantzig,4 to 8 Yrs,All India,Not Available,Regular,Data Scientist,1
172,Data Scientist (1-3yrs),PhonePe,1 to 3 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
173,Data Scientist,"PrimeSoft Solutions, Inc.",2 to 6 Yrs,Chennai, Tamil Nadu,Regular,Data Scientist,1
174,Data Scientist,Prompt Softech,2 to 3 Yrs, Gujarat,Ahmedabad,Regular,Data Scientist,1
175,Senior/Lead Data Scientist- Noida/Bangalore/Hybrid,Techneplus,3 to 8 Yrs,Noida, Uttar Pradesh,Regular,Data Scientist,1
176,Sr. Data Scientist,Blue Data Consulting,5 to 9 Yrs,All India,Not Available,Regular,Data Scientist,1
177,Senior Data Scientist,PropReturns (YC S21),4 to 8 Yrs, Maharashtra,Navi Mumbai,Regular,Data Scientist,1
178,Sr. Data Scientist,Highspot,7 to 11 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
179,Senior Data Scientist,Velocitai Digital,7 to 11 Yrs, Haryana,Not Available,Regular,Data Scientist,1
180,Urgent Req Data Scientist with AWS and Apache Spark -Im ...,Shell Infotech,5 to 9 Yrs, Maharashtra,Pune,Regular,Data Scientist,1
181,Data Scientist (Generative AI/LLMs),Algoscale,2 to 6 Yrs,All India,Not Available,Regular,Data Scientist,1
182,Data Scientist (Security),NorthStar HR Consultants,8 to 12 Yrs, Maharashtra,Pune,Regular,Data Scientist,1
183,Senior Data Scientist,Teamfocus Human Capital Pvt Ltd.,12 to 16 Yrs,Chennai, Tamil Nadu,Regular,Data Scientist,1
184,Data Scientist - Python/Deep Learning,Ajna Lens,3 to 7 Yrs, Maharashtra,Navi Mumbai,Regular,Data Scientist,1
185,Data Scientist,Saipem,3 to 8 Yrs,Chennai, Tamil Nadu,Regular,Data Scientist,1
186,Data Scientist,Equifax,0 to 1 Yr, Karnataka,Not Available,Regular,Data Scientist,1
187,Data Scientist,VMock,3 to 7 Yrs, Haryana,Not Available,Regular,Data Scientist,1
188,Data Scientist,IGP,2 to 4 Yrs, Maharashtra,Not Available,Regular,Data Scientist,1
189,Lead Data Scientist,"iitjobs, Inc.",5 to 9 Yrs,All India,Not Available,Regular,Data Scientist,1
190,Data Scientist,padmasai finance pvt ltd,5 to 9 Yrs,All India,Not Available,Regular,Data Scientist,1
191,Data Scientist,the modern dimension,2 to 5 Yrs,All India,Not Available,Regular,Data Scientist,1
192,Lead Data Scientist,ADA,5 to 9 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
193,Data Scientist,NeoStats,4 to 8 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
194,"Staff, Product Data Scientist (Mumbai)",Uplers,7 to 11 Yrs,All India,Not Available,Regular,Data Scientist,1
195,Data Scientist,Info Edge India Ltd,1 to 5 Yrs,Noida, Uttar Pradesh,Regular,Data Scientist,1
196,Senior Data Scientist,Cyble Inc.,4 to 8 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
197,Lead Data Scientist/ Principal Data Scientist,Fractal,5 to 9 Yrs,Bangalore, Karnataka,Regular,Data Scientist,1
198,Senior Data Scientist - Forecasting,AutoGrid,5 to 9 Yrs,All India,Not Available,Regular,Data Scientist,1
199,Data Scientist,VARITE INC,3 to 7 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
200,Lead Data Scientist,ADA,5 to 9 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
201,Data Scientist,NeoStats,4 to 8 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
202,Data Scientist,Quest Global,4 to 8 Yrs, Maharashtra,Pune,Regular,Data Scientist,1
203,Senior Data Scientist,Cyble Inc.,4 to 8 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
204,Lead Data Scientist/ Principal Data Scientist,Fractal,5 to 9 Yrs,Bangalore, Karnataka,Regular,Data Scientist,1
205,Senior Data Scientist - Forecasting,AutoGrid,5 to 9 Yrs,All India,Not Available,Regular,Data Scientist,1
206,Data Scientist,VARITE INC,3 to 7 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
207,Data Scientist,Deutsche Bank,3 to 7 Yrs, Maharashtra,Pune,Regular,Data Scientist,1
208,Senior Consultant - Data Scientist,Thoughtworks,5 to 9 Yrs,All India,Not Available,Regular,Data Scientist,1
209,Lead Data Scientist,techjays,9 to 13 Yrs,Chennai, Tamil Nadu,Regular,Data Scientist,1
210,Data Scientist III,Sanfoundry,5 to 9 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
211,Senior / Lead Data Scientist,Career Zoom Pte. Ltd.,3 to 7 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
212,Immediate opening for Data Scientist- Delhi (Hybrid),HTC Global Services,3 to 5 Yrs,Delhi,Not Available,Regular,Data Scientist,1
213,Data Scientist,pegasus knowledge solutions india p...,8 to 10 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
214,Security Engineer III-AWS Data Scientist,JPMorgan Chase & Co.,3 to 4 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
215,Data Scientist,Quantzig,3 to 5 Yrs,All India,Not Available,Regular,Data Scientist,1
216,Senior Data Scientist,ORMAE LLP,2 to 10 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
217,Data Scientist Full-Time,HyreFox Consultants,2 to 5 Yrs,Jaipur, Rajasthan,Regular,Data Scientist,1
218,Data Scientist,DataEconomy,6 to 9 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
219,Senior Data Scientist,Wolters Kluwer,3 to 7 Yrs, Maharashtra,Pune,Regular,Data Scientist,1
220,Data Scientist with GEN AI,System Soft Technologies,2 to 6 Yrs,All India,Not Available,Regular,Data Scientist,1
221,Data Scientist / Data Engineer / Software Engineer,MICROSOFT INDIA (R&D) PRIVATE LIMIT...,2 to 5 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
222,Senior Data Scientist  Distinguished Healthcare Startup,CareerXperts,12 to 16 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
223,Senior Data Scientist,Turing,6 to 10 Yrs,All India,Not Available,Regular,Data Scientist,1
224,Senior Data Scientist,Xoriant Solutions,4 to 14 Yrs, Maharashtra,Pune,Regular,Data Scientist,1
225,Senior Data Scientist,Geekx,4 to 8 Yrs,All India,Not Available,Regular,Data Scientist,1
226,Senior Consultant - Data Scientist,Thoughtworks,5 to 9 Yrs,All India,Not Available,Regular,Data Scientist,1
227,Data Scientist,Le Human Resources Solutions Pvt. L...,5 to 7 Yrs, Maharashtra,Pune,Regular,Data Scientist,1
228,Senior Data Scientist,Fusemachines,5 to 9 Yrs, Maharashtra,Pune,Regular,Data Scientist,1
229,Data Scientist Lead role chennai (IT ),HR Inc Consultants,5 to 10 Yrs,Chennai, Tamil Nadu,Regular,Data Scientist,1
230,Data Scientist,Peel-works,5 to 8 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
231,Lead Data Scientist,techjays,9 to 13 Yrs,Chennai, Tamil Nadu,Regular,Data Scientist,1
232,Senior Data Scientist,algoanalytics pune,3 to 6 Yrs, Maharashtra,Pune,Regular,Data Scientist,1
233,Data Scientist,DataEconomy,6 to 9 Yrs,Hyderabad, Telangana,Regular,Data Scientist,1
234,Data Scientist,eNest Technologies Pvt Ltd,3 to 7 Yrs, Punjab,Not Available,Regular,Data Scientist,1
235,Immediate opening for Data Scientist- Delhi (Hybrid),HTC Global Services,3 to 5 Yrs,Delhi,Not Available,Regular,Data Scientist,1
236,Data Scientist,thinkedge.ai,0 to 4 Yrs, Haryana,Not Available,Regular,Data Scientist,1
237,Senior Data Scientist,Wolters Kluwer,3 to 7 Yrs, Maharashtra,Pune,Regular,Data Scientist,1
238,Data Scientist,recruitment agency Work in Kuwait,3 to 7 Yrs,All India,Not Available,Regular,Data Scientist,1
239,Junior Data Scientist,Prescience Decision Solutions,2 to 6 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
240,Junior Data Scientist,Prescience Decision Solutions,2 to 6 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
241,Data Scientist - IT,HNM SOLUTIONS,3 to 7 Yrs, Karnataka,Not Available,Regular,Data Scientist,1
242,Data Scientist with RAG and Gen AI,System Soft Technologies,3 to 7 Yrs,All India,Not Available,Regular,Data Scientist,1
243,Lead Data Scientist,GeakMinds,5 to 8 Yrs,All India,Not Available,Regular,Data Scientist,1
